objectid,parentid,title,display_template,type,format,object_location,image_small,image_thumb,creator,recipient,publisher,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,item_information,language,rights,rightsstatement,image_alt_text,object_transcript,related_publication
link_06,,The Church of the Holy Apostles,item,"Image;StillImage, Text",web page,https://www.nyclgbtsites.org/site/church-of-the-holy-apostles/,https://www.nyclgbtsites.org/site/church-of-the-holy-apostles/,https://www.nyclgbtsites.org/site/church-of-the-holy-apostles/,,,,,,NYC LGBTQ Historic Sites website with details about the Church of the Holy Apostles,,,,,,LINK_06,,,,,,,
cbd_018,,Church of the Beloved Disciple at the 1974 New York City Pride March,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_018.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_018.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_018.jpg,,,,1974-06-30,," Members of the Church of the Beloved Disciple process through Midtown Manhattan during the Fifth Annual Christopher Street Liberation Day March on June 30, 1974. Marching beneath processional crosses, banners, and the church's heraldic standard, the congregation transformed the annual Pride march into a public act of Christian witness, proclaiming that LGBTQ people belonged fully within the sacramental life of the Church. By 1974, the Church of the Beloved Disciple had become one of the most visible religious organizations participating in New York City's Pride celebrations, bringing liturgy, sacred art, and public faith into the heart of the growing gay liberation movement.",,,,,,CBD_018,,,,,,,
cbd_019,,After the 1974 New York City Pride March in Central Park,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_019.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_019.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_019.jpg,,,,1974-06-30,,"Fr. Leo speaks with a member of the Church of the Beloved Disciple in Sheep Meadow following the Fifth Annual Christopher Street Liberation Day March on June 30, 1974. Surrounding them are the church's processional banners and heraldic standard, while the congregant wears a distinctive silver cross designed by Fr. Leo and adopted by members of the congregation as a symbol of their shared faith and community.",,,,,,CBD_019,,,,,,,
cbd_020,,Eucharistic Catholic Church banner at the 1974 New York City Pride March,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_020.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_020.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_020.jpg,,,,1974-06-30,,"Carried by members of the Church of the Beloved Disciple during the Fifth Annual Christopher Street Liberation Day March on June 30, 1974, this processional banner features heraldic imagery created by the Church of the Beloved Disciple in honor of the Eucharistic Catholic Church, founded by Archbishop George Augustine Hyde in 1946. By designing and publicly displaying a coat of arms for the Eucharistic Catholic Church, the congregation affirmed its spiritual and historical continuity with Hyde's pioneering ministry. The banner proclaimed the Church of the Beloved Disciple's understanding of itself as the successor to the Eucharistic Catholic Church, continuing its mission of providing a sacramental home for LGBTQ Christians within the historic Catholic tradition.",,,,,,CBD_020,,,,,,,
cbd_021,,Church of the Beloved Disciple in the 1975 Pride March,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_021.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_021.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_021.jpg,,,,1975-06-29,,"Clergy of the Church of the Beloved Disciple process ahead of the congregation's float during the Sixth Annual Gay Pride Day March (Gay Liberation Day) in New York City on June 29, 1975. From left to right are Fr. Leo (partially visible), Fr. John (center), and Bishop Robert Mary Clement (wearing the mitre), accompanied by unidentified acolytes and cross-bearers. Behind them, the Church of the Beloved Disciple's float, designed as a processional chapel, affirmed the congregation's conviction that LGBTQ Christians belonged fully within the sacramental life of the Church and brought liturgical worship into one of the nation's most visible public celebrations of gay liberation.",,,,,,CBD_021,,,,,,,
cbd_022,,Church of the Beloved Disciple Pride Float 1975,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_022.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_022.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_022.jpg,,,,1975-06-29,,"A closer view of the Church of the Beloved Disciple's float during the Sixth Annual Gay Pride Day March (Gay Liberation Day) in New York City on June 29, 1975. Decorated as a processional chapel and crowned with the sign ""Beloved Disciple Parish,"" the float featured the congregation's heraldic arms and iconography, visually expressing its Catholic sacramental identity. The individuals on the float are presently unidentified, but their white albs and distinctive crosses reflected the liturgical character of the congregation's public witness.",,,,,,CBD_022,,,,,,,
cbd_023,,Pride Parade Float 1976,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_023.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_023.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_023.jpg,,,,1976-06-27,,"The Church of the Beloved Disciple's float at the Seventh Annual Christopher Street Liberation Day March commemorated the thirtieth anniversary (1946–1976) of Archbishop George Augustine Hyde's Eucharistic Catholic Church. Featuring congregation members portraying Archbishop George Augustine Hyde and Bishop Robert Mary Clement, the float presented the Church of the Beloved Disciple as the spiritual successor to Hyde's pioneering ministry. The central heraldic emblem, created by the Church of the Beloved Disciple to represent the Eucharistic Catholic Church, symbolized that continuity, while the prominent inscription ""World's First Gay Church"" proclaimed the congregation's understanding that Hyde's church was the earliest sacramental Christian community in the United States established to minister openly to gay men and lesbians. Through this public display, the Church of the Beloved Disciple celebrated and extended that legacy as an LGBTQ-affirming Catholic ministry in New York City.",,,,,,CBD_023,,,,,,,
cbd_024,,Church of the Beloved Disciple Pride Float. ,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_024.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_024.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_024.jpg,,,,circa late 1970s - early 1980s,,"The Church of the Beloved Disciple's float during a New York City Gay Pride march, circa late 1970s - early 1980s, featured clergy in episcopal vestments beneath the congregation's distinctive floral cross. Prominently displayed were the coat of arms of the Church of the Beloved Disciple, emblazoned on purple processional banners that had become a recognizable symbol of the congregation's public ministry.",,,,,,CBD_024,,,,,,,
cbd_025,,Quentin Crisp Joins the Church of the Beloved Disciple at New York Pride,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_025.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_025.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_025.jpg,,,,1982-06-27,,"English writer and gay icon Quentin Crisp (center) rides with Fr. John Darcy Noble (left) and Bishop Robert Mary Clement (right) in the Church of the Beloved Disciple's lead convertible during the 13th Annual Gay Pride Day March in New York City on June 27, 1982.",,,,,,CBD_025,,,,,,,
cbd_026,,Church of the Beloved Disciple at the New York City Pride March,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_026.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_026.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_026.jpeg,,,,circa late 1970s - early 1980s,,"Members of the Church of the Beloved Disciple march beneath the congregation's name banner and the heraldic standard during New York City's annual Pride Parade, circa late 1970s - early 1980s. By this time, the church had become a familiar presence in Pride marches, returning each year with banners, vestments, and religious symbols that proclaimed the compatibility of Christian faith and LGBTQ identity. The procession embodied the church's enduring mission to make visible a sacramental tradition in which LGBTQ people could worship openly, celebrate their relationships, and participate fully in the life of the Church.",,,,,,CBD_026,,,,,,,
cbd_027,,Church of the Beloved Disciple at the New York City Pride March. ,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_027.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_027.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_027.jpeg,,,,circa late 1970s - early 1980s,,"Members of the Church of the Beloved Disciple carry the congregation's banner during New York City's annual Pride Parade, circa late 1970s - early 1980s. The church marched each year as an openly Christian presence within the LGBTQ movement, proclaiming that gay, lesbian, bisexual, and transgender people belonged fully within the life of the Church. While clergy often processed in liturgical vestments and carried crosses and banners, lay members walked alongside them, demonstrating that the Church of the Beloved Disciple was both a worshiping community and a visible participant in the ongoing struggle for equality, dignity, and religious inclusion.",,,,,,CBD_027,,,,,,,
cbd_028,,First service in the churches second location - Moravian Church on Lexington Avenue,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_028.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_028.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_028.jpg,,,,1972-11-01,,"On November 1, 1972, the Church of the Beloved Disciple held its first service at the Moravian Church on Lexington Avenue, marking the congregation's second worship location since its founding.",,,,,,CBD_028,,,,,,,
cbd_029,,Third home at the West Side Discussion Group,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_029.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_029.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_029.jpg,,,,1973-09-01,,"After being asked to leave the Moravian Church, the Church of the Beloved Disciple found a new home at the West Side Discussion Group, where it celebrated worship in the fall of 1973. The congregation's move reflects the challenges faced by LGBTQ-affirming religious communities in securing stable worship space during the early years of the gay liberation movement. Despite repeated displacement, the church continued to celebrate the Eucharist and expand its ministry, demonstrating the resilience and determination of its members to create a spiritual home for LGBTQ people.",,,,,,CBD_029,,,,,,,
link_07,,West Side Discussion Group Center,item,"Image;StillImage, Text",web page,https://www.nyclgbtsites.org/site/west-side-discussion-group-center/,https://www.nyclgbtsites.org/site/west-side-discussion-group-center/,https://www.nyclgbtsites.org/site/west-side-discussion-group-center/,,,,,,NYC LGBTQ Historic Sites website with details about the West Side Discussion Group Center.,,,,,,LINK_07,,,,,,,
cbd_030,,Procession to new building,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_030.tiff,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_030.tiff,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_030.tiff,,,,1973-10 ,,"This New York Times article documents the Church of the Beloved Disciple's public procession through Manhattan to its newly renovated church at 348 West 14th Street. Accompanied by clergy, servers, and processional crosses, the congregation carried the Blessed Sacrament from its previous worship site to its first permanent home, marking a milestone in the history of LGBTQ religious life in New York City. The newspaper's coverage reflects the growing public visibility of the church and its emergence as a recognized presence within both the city's religious landscape and the gay liberation movement.",,,,,,CBD_030,,,,,,,
cbd_031,,Clement blesses new building,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_031.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_031.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_031.jpg,,,,1973-10 ,,"Before celebrating the first Mass in the congregation's newly renovated church, Father Robert M. Clement blesses the entrance to the Church of the Beloved Disciple with the Eucharist. Surrounded by clergy, parishioners, and the church's distinctive processional banners, the ceremony marked the dedication of the congregation's first permanent home after years of worshiping in borrowed spaces. The blessing inaugurated a new chapter in the life of one of the nation's earliest openly LGBTQ-affirming Catholic communities.",,,,,,CBD_031,,,,,,,
cbd_032,,External view of church building after remodel,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_032.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_032.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_032.jpg,,,,circa 1974,,"Following an extensive renovation by parishioners, 348 West 14th Street became the permanent home of the Church of the Beloved Disciple and the center of its ministry to New York City's LGBTQ community. Dedicated in October 1973, the former commercial building was transformed into a church through the labor and financial support of its members, creating one of the first permanently owned houses of worship established by an openly LGBTQ Christian congregation in New York City. From this sanctuary, the church celebrated the Eucharist, ordained clergy, and became a center of LGBTQ religious life and independent Catholic ministry in New York.",,,,,,CBD_032,,,,,,,
cbd_033,,Close up of external view of church building after remodel,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_033.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_033.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_033.jpeg,,,,circa 1974,,"The renovated façade of the Church of the Beloved Disciple at 348 West 14th Street, the congregation's permanent home from 1973 until 1983. Purchased and restored through the labor and generosity of parishioners, the building became one of the first permanently owned houses of worship established by an openly LGBTQ Christian congregation in the United States. For nearly a decade, it served as a sanctuary for worship, community, and pioneering LGBTQ religious life in New York City.",,,,,,CBD_033,,,,,,,
cbd_034,,Pontifical Mass on Easter Sunday 1976 1,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_034.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_034.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_034.jpeg,,,,1976-04-18,,"Viewed from the rear of the sanctuary, Archbishop Robert M. Clement with Fr. Leo (on his left) and Fr. John (on his right) processing to the altar before celebrates the Pontifical Mass of Easter Sunday before a congregation filling the Church of the Beloved Disciple. The elevated altar, adorned with lilies, candles, and a suspended crucifix, provided a setting for one of the most solemn liturgies of the Christian year, celebrated according to the ceremonial traditions of the Catholic Church. This image captures the church at the height of its liturgical life, when its permanent home had become both a place of worship and a refuge for LGBTQ Christians seeking a sacramental community. Takes place at the 348 West 14th street location.",,,,,,CBD_034,,,,,,,
cbd_035,,Pontifical Mass on Easter Sunday 1976 2,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_035.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_035.jpg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_035.jpg,,,,1976-04-18,,"Archbishop Robert M. Clement with Fr. Leo (on his left) and Fr. John (on his right) celebrates the Pontifical Mass of Easter Sunday before a congregation gathered in the Church of the Beloved Disciple's permanent sanctuary. Surrounded by clergy and elaborate Easter floral decorations, the solemn liturgy exemplified the church's commitment to the full ceremonial tradition of Catholic worship while serving an openly LGBTQ-affirming community. Takes place at the 348 West 14th street location.",,,,,,CBD_035,,,,,,,
cbd_036,,Carved Sanctuary Crucifix (ca. 1968–1970),image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_036.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_036.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_036.jpeg,,,,ca. 1968-1970,,"This carved wooden crucifix (seen hanging above the altar in the preceeding pictures), created by artist Robert Robbins, served as the principal cross of the Church of the Beloved Disciple throughout its history. First displayed at the congregation's inaugural Eucharist in the Church of the Holy Apostles in Manhattan, it remained a constant presence as the community moved to successive worship spaces, ultimately hanging in the sanctuary at 348 West 14th Street. Depicting the risen and glorified Christ with outstretched arms and visible wounds, the crucifix embodied the church's theology of resurrection, welcome, and reconciliation.",,,,,,CBD_036,,,,,,,
cbd_037,,Processional Crucifix,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_037.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_037.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_037.jpeg,,,,circa 1970s,,"Carved by the noted ecclesiastical sculptor Robert (""Robbie"") Robbins, this processional crucifix was commissioned for the Church of the Beloved Disciple and served as one of the principal symbols of the congregation's public and liturgical life. Carried in solemn liturgies, feast day processions, and in public marches, the cross reflects Robbins's distinctive synthesis of medieval and modern forms. Christ is depicted as the crucified King, crowned and reigning from the Tree of Life, while the interlaced Celtic ornament that fills the cross evokes the eternal and unbroken life of God. Robbins, whose work adorned numerous Roman Catholic and Anglo-Catholic churches along the East Coast, created this crucifix specifically for the Church of the Beloved Disciple.",,,,,,CBD_037,,,,,,,
cbd_038,,Fr. Leo censing ,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_038.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_038.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_038.jpeg,,,,,,"Leo M. Joseph census the altar during the celebration of the Eucharist in the Church of the Beloved Disciple's permanent sanctuary. The use of incense, richly colored vestments, and traditional ceremonial reflected the congregation's commitment to historic Catholic worship, demonstrating that LGBTQ affirmation and liturgical tradition could coexist within a fully sacramental community. This photograph captures the reverence and beauty that characterized the church's liturgical life during its years at 348 West 14th Street.",,,,,,CBD_038,,,,,,,
cbd_039,,Fr. Leo reading with view of vestments,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_039.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_039.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_039.jpeg,,,,,,"Father Leo M. Joseph proclaims the Eucharistic prayers vested in an ornate chasuble embroidered with the Agnus Dei(Lamb of God) and Eucharistic symbols. The richly decorated vestments, many designed by Father Leo, expressed the Church of the Beloved Disciple's conviction that the dignity and beauty of Catholic worship belonged fully within an LGBTQ-affirming community. This close view highlights the church's careful preservation of traditional liturgical artistry alongside its pioneering ministry of inclusion.",,,,,,CBD_039,,,,,,,
cbd_040,,Fr. Leo and Fr. John with two unknown acolytes ,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_040.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_040.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_040.jpeg,,,,,,Father Leo M. Joseph (left) and Father John Noble (right) prepare for the celebration of the Eucharist with two acolytes inside the Church of the Beloved Disciple's permanent sanctuary. The church preserved the richness of the Catholic liturgical tradition through solemn ceremonial worship while offering an affirming spiritual home for LGBTQ Christians. This intimate moment behind the altar captures the collaborative ministry of clergy and servers that sustained one of the earliest openly LGBTQ-affirming sacramental congregations in the United States.,,,,,,CBD_040,,,,,,,
cbd_041,,Mass for Gay pride march 1975,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_041.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_041.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_041.jpeg,,,,1975-06 ,,"Father John Noble (left), Father Robert M. Clement (center), and Father Leo M. Joseph (right) celebrate a special Eucharist in honor of New York City's annual Gay Pride March in June 1975. For the Church of the Beloved Disciple, the Mass was both a preparation for public witness and an affirmation that LGBTQ identity and Catholic faith were inseparable. Following the liturgy, the congregation processed through Manhattan in clerical vestments, carrying banners, crosses, and the Blessed Sacrament in one of the earliest public expressions of LGBTQ-affirming sacramental worship in the United States.",,,,,,CBD_041,,,,,,,
cbd_042,,Marian Shrine,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_042.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_042.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_042.jpeg,,,,1970s,,"A side chapel dedicated to the Blessed Virgin Mary provided a quiet place for personal prayer within the Church of the Beloved Disciple. Centered on an icon painted by John Darcy Noble, the shrine was adorned with candles, flowers, and votive lights, reflecting the congregation's enduring practice of traditional Catholic devotion. Like the church's public processions and liturgical celebrations, the shrine affirmed that contemplative prayer and Marian piety remained central to the spiritual life of this pioneering LGBTQ-affirming community.",,,,,,CBD_042,,,,,,,
cbd_043,,Icon of the Virgin and Child,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_043.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_043.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_043.jpeg,,,,1970s,,"This icon of the Virgin and Child, painted by John Darcy Noble, served as the focal point of the Church of the Beloved Disciple's Marian shrine. Drawing upon the visual language of Eastern Christian iconography while reflecting Noble's own artistic vision, the image depicts Mary tenderly embracing the Christ Child as an expression of divine compassion and maternal care. The icon became one of the congregation's most cherished devotional works, inviting prayer and contemplation while embodying the church's commitment to beauty, tradition, and sacred art.",,,,,,CBD_043,,,,,,,
cbd_044,,Our Lady of the Church of the Beloved Disciple,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_044.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_044.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_044.jpeg,,,,1970s,,"The Church of the Beloved Disciple's statue of the Blessed Virgin Mary was richly adorned with embroidered garments, a lace veil, fresh flowers, and a floral crown prepared for the church's liturgical seasons and Marian feasts. Displayed within the sanctuary and carried in annual processions, the image reflected the congregation's deep devotion to Mary as a symbol of compassion, fidelity, and hope. Through such traditional expressions of piety, the church affirmed its place within the historic Catholic devotional tradition.",,,,,,CBD_044,,,,,,,
cbd_045,,Our Lady of the Church of the Beloved Disciple,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_045.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_045.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_045.jpeg,,,,1970s,,"Seen in profile, the church's statue of the Blessed Virgin Mary is dressed in elaborate vestments and crowned with flowers in preparation for a public procession. Carried through the streets on the Feast of the Assumption and other Marian celebrations, the image linked the Church of the Beloved Disciple to centuries of Catholic devotional practice while making that tradition visibly present within New York City's LGBTQ community. The statue became one of the congregation's most cherished symbols of continuity, beauty, and sacred presence.",,,,,,CBD_045,,,,,,,
cbd_046,,Our Lady and the Christ Child,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_046.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_046.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_046.jpeg,,,,1970s,,"This restored view depicts the Church of the Beloved Disciple's principal Marian statue holding the Christ Child, both crowned with floral wreaths for a feast day celebration. The image occupied a place of honor within the sanctuary and was carefully decorated by members of the congregation as an expression of reverence and beauty. It served as a focal point for prayer throughout the liturgical year and accompanied the parish during outdoor Marian processions through the streets of Manhattan. ",,,,,,CBD_046,,,,,,,
cbd_047,,Stained glass window with St John the Beloved,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_047.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_047.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_047.jpeg,,,,1970,,"Designed collaboratively by Leo Joseph and John Darcy Noble and executed in England using traditional stained-glass techniques, this window was commissioned for the Church of the Beloved Disciple and imported to New York in 1970. Depicting St. John the Beloved, the church's patron and namesake, it was installed in a side chapel of the congregation's permanent sanctuary in 1973 as a visual expression of its commitment to historic Catholic tradition and an affirming sacramental ministry. The shrine also housed the relics of the Eucharistic Catholic Church, entrusted by Bishop George Augustine Hyde, who founded that church in Atlanta in 1946. By presenting these relics to Bishop Robert Mary Clement and the Church of the Beloved Disciple, Hyde recognized the congregation as the spiritual successor to the Eucharistic Catholic Church, linking its ministry in Manhattan to an earlier independent Catholic tradition and affirming its continuing apostolic mission.",,,,,,CBD_047,,,,,,,
cbd_048,,Processional Banner of St. John the Beloved,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_048.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_048.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_048.jpeg,,,,,,"This painted processional banner depicts St. John the Beloved, patron of the Church of the Beloved Disciple, in a style derived from the church's celebrated stained-glass window. Mounted on purple felt with decorative tassels, the banner was carried in liturgical processions, ecumenical events, and New York City public marches, including Pride celebrations and other outdoor religious observances. Designed collaboratively by Leo and John Darcy Noble, it became one of the congregation's most recognizable visual emblems, appearing in numerous photographs documenting the church's public witness throughout the 1970s.",,,,,,CBD_048,,,,,,,
cbd_049,,Commemorative church greeting card,image,"Image;StillImage, Text",image,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_049.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_049.jpeg,http://d2osek5pf4af91.cloudfront.net/archive_objects/LGBTQ-RAN/CBD_049.jpeg,,,,,,"The front of this devotional card features the Church of the Beloved Disciple's image of St. John the Beloved, reproduced from the stained-glass window designed collaboratively by Leo Joseph and John Darcy Noble. Commissioned in England and imported to New York in 1970, the window became the visual emblem of the congregation and frequently appeared on printed liturgical materials, prayer cards, and church publications. Measuring approximately 4.25 × 6 inches, the folded card welcomed visitors while expressing the church's identity through the figure of its patron saint.",,,,,,CBD_049,,,,,,,
